"Sent E-mails","E-mails Enviados"
"E-mail with id ""%1"" does not exist.","E-mail com o id ""%1"" não existe."
"From","De"
"To","Para"
"Sender","Remetente"
"Body","Conteúdo"
"Recipient","Destinatário"
"There was a problem while loading the e-mail.","Houve um problema ao carregar o e-mail."
"Test transactional e-mail","E-mail Transacional Teste"
""Hello,","Olá,"
"This is a test e-mail, it shows your transactional e-mails are working.","Este é apenas um e-mail para fins de teste, ele mostra que seus e-mails transacionais estão funcionando corretamente"
"Thank you,","Obrigado,"
"Send Test E-mail","Enviar E-mail Teste"
"Make sure you save the configuration before testing it, otherwise your changes will be lost.","Assegure-se de ter salvado a configuração antes de testar o envio, caso contrário as suas alterações serão perdidas."
"Provider","Serviço utilizado no envio de e-mails"
"API Key","API Key"
"Send test e-mail to","Enviar e-mail teste para"
"Test Sending","Testar Envio"
"SendGrid","SendGrid"
"sendmail","sendmail"
"Test e-mail successfully sent, please check your inbox.","E-mail enviado com sucesso, verifique sua caixa de entrada."
"There was an error while sending your test e-mail: %1","Houve um erro ao tentar enviar o seu e-mail de teste: %1"
"No transport provider defined.","Nenhum serviço definido para o envio dos e-mails"
"SendGrid returned some error message(s): %1","O SendGrid retornou algumas mensagens de erro ao efetuar o teste: %1"
"Success","Sucesso"
"Failur","Falha"